mass,tone,fat,muscle,weight
-0.2,-0.69,7.51,16.69,44.13
-0.1,-0.69,21.23,17.82,58.98
0.0,-0.69,36.68,16.35,72.96
0.1,-0.69,46.19,24.76,90.87
0.2,-0.69,48.44,49.73,118.1
-0.2,-0.54,7.51,16.7,44.14
-0.1,-0.54,15.32,23.59,58.84
0.0,-0.54,15.79,26.7,62.43
0.1,-0.54,17.32,26.9,64.15
0.2,-0.54,48.44,49.77,118.14
-0.2,-0.39,5.37,12.79,38.09
-0.1,-0.39,15.67,24.88,60.48
0.0,-0.39,15.65,26.12,61.7
0.1,-0.39,15.57,27.73,63.23
0.2,-0.39,47.86,40.71,108.5
-0.2,-0.24,5.41,15.26,40.61
-0.1,-0.24,15.28,25.06,60.27
0.0,-0.24,15.7,25.45,61.08
0.1,-0.24,16.77,25.4,62.1
0.2,-0.24,40.18,18.65,78.76
-0.2,-0.09,5.41,16.26,41.6
-0.1,-0.09,5.6,18.11,43.64
0.0,-0.09,12.42,17.58,49.93
0.1,-0.09,16.26,22.54,58.74
0.2,-0.09,31.38,20.07,71.39
